nr	nv	nt	capacity
40	12	1	-1

node	x	y	a	b	load	s	vcap
p0	116	121	198	215	2	1	0
d0	113	80	251	272	-2	1	0
p1	183	181	120	134	1	3	0
d1	143	54	516	547	-1	1	0
p2	189	149	67	99	3	4	0
d2	64	131	417	438	-3	3	0
p3	165	145	27	57	1	4	0
d3	61	128	213	241	-1	1	0
p4	192	123	24	58	2	4	0
d4	27	149	381	391	-2	4	0
p5	61	107	8	26	3	1	0
d5	105	178	100	133	-3	4	0
p6	70	104	125	159	1	3	0
d6	177	192	444	478	-1	2	0
p7	144	190	116	137	2	2	0
d7	2	55	319	352	-2	2	0
p8	27	49	132	145	3	1	0
d8	172	45	383	410	-3	1	0
p9	198	147	58	81	2	1	0
d9	63	178	255	266	-2	3	0
p10	41	130	16	44	3	2	0
d10	190	126	337	370	-3	4	0
p11	15	31	346	377	2	4	0
d11	157	91	559	576	-2	3	0
p12	144	112	13	22	2	1	0
d12	148	125	9	42	-2	1	0
p13	83	120	47	67	3	2	0
d13	99	150	76	94	-3	1	0
p14	18	32	392	425	3	2	0
d14	20	87	464	491	-3	3	0
p15	149	162	84	108	2	4	0
d15	179	67	418	452	-2	4	0
p16	150	20	298	301	3	3	0
d16	113	77	439	466	-3	1	0
p17	7	158	349	371	1	1	0
d17	109	63	497	513	-1	2	0
p18	114	136	152	186	1	1	0
d18	11	38	386	420	-1	1	0
p19	160	77	26	57	3	3	0
d19	74	129	319	336	-3	4	0
p20	181	92	30	40	3	4	0
d20	26	71	424	446	-3	2	0
p21	97	14	141	165	2	3	0
d21	78	172	333	367	-2	4	0
p22	124	63	150	169	3	4	0
d22	117	63	147	177	-3	4	0
p23	147	177	168	191	2	4	0
d23	41	178	276	292	-2	3	0
p24	61	9	90	124	2	3	0
d24	62	91	227	258	-2	2	0
p25	72	57	149	165	1	4	0
d25	151	131	430	464	-1	2	0
p26	183	27	348	375	1	2	0
d26	47	96	548	550	-1	4	0
p27	93	115	281	301	3	2	0
d27	55	179	394	426	-3	2	0
p28	12	30	82	114	2	1	0
d28	150	39	263	293	-2	1	0
p29	4	62	420	446	3	2	0
d29	60	123	562	577	-3	4	0
p30	81	28	188	216	1	4	0
d30	138	46	253	283	-1	2	0
p31	183	80	101	131	1	2	0
d31	137	84	404	419	-1	3	0
p32	178	74	33	40	3	1	0
d32	0	199	346	376	-3	3	0
p33	168	174	490	516	3	3	0
d33	162	173	493	522	-3	3	0
p34	76	192	324	356	1	1	0
d34	160	125	542	576	-1	2	0
p35	115	116	197	227	3	4	0
d35	137	53	289	295	-3	1	0
p36	1	37	73	107	1	1	0
d36	167	1	305	332	-1	3	0
p37	127	186	115	145	1	2	0
d37	137	61	525	550	-1	3	0
p38	22	36	352	383	2	3	0
d38	24	54	399	426	-2	4	0
p39	93	85	187	201	3	1	0
d39	82	82	211	213	-3	4	0
o0	150	100	0	600	0	0	11
e0	150	100	0	600	0	4	11
o1	150	100	0	600	0	0	9
e1	150	100	0	600	0	4	9
o2	50	100	0	600	0	0	11
e2	50	100	0	600	0	1	11
o3	50	100	0	600	0	0	9
e3	50	100	0	600	0	1	9
o4	50	100	0	600	0	0	11
e4	50	100	0	600	0	1	11
o5	150	100	0	600	0	0	10
e5	150	100	0	600	0	4	10
o6	50	100	0	600	0	0	9
e6	50	100	0	600	0	1	9
o7	150	100	0	600	0	0	9
e7	150	100	0	600	0	4	9
o8	50	100	0	600	0	0	9
e8	50	100	0	600	0	1	9
o9	150	100	0	600	0	0	8
e9	150	100	0	600	0	4	8
o10	150	100	0	600	0	0	11
e10	150	100	0	600	0	4	11
o11	150	100	0	600	0	0	7
e11	150	100	0	600	0	4	7
ts.0	100	150	0	600	0	3	0
tf.0	100	150	0	600	0	2	0
