nr	nv	nt	capacity
40	12	1	-1

node	x	y	a	b	load	s	vcap
p0	81	117	29	44	1	4	0
d0	64	21	305	327	-1	4	0
p1	13	70	415	432	3	1	0
d1	124	86	517	548	-3	2	0
p2	162	139	34	63	1	3	0
d2	1	79	285	318	-1	1	0
p3	184	118	338	361	2	1	0
d3	145	147	405	438	-2	4	0
p4	139	132	34	60	1	1	0
d4	163	153	62	96	-1	2	0
p5	61	107	8	26	3	1	0
d5	105	178	100	133	-3	4	0
p6	144	190	116	137	2	2	0
d6	2	55	319	350	-2	2	0
p7	27	49	132	145	3	1	0
d7	172	45	383	410	-3	1	0
p8	86	3	124	154	3	3	0
d8	67	74	212	244	-3	4	0
p9	15	31	346	378	2	4	0
d9	157	91	559	576	-2	3	0
p10	35	133	218	252	2	1	0
d10	132	199	395	427	-2	3	0
p11	144	112	13	22	2	1	0
d11	148	125	9	43	-2	1	0
p12	50	137	43	57	3	2	0
d12	99	43	211	225	-3	2	0
p13	83	120	47	67	3	2	0
d13	99	150	76	94	-3	1	0
p14	64	133	223	224	3	3	0
d14	62	19	423	454	-3	4	0
p15	149	162	84	108	2	4	0
d15	179	67	418	449	-2	4	0
p16	181	6	320	354	1	1	0
d16	101	82	452	483	-1	1	0
p17	146	28	173	203	2	1	0
d17	56	46	262	294	-2	3	0
p18	32	117	55	60	3	2	0
d18	36	72	86	117	-3	3	0
p19	150	20	298	301	3	3	0
d19	113	77	439	466	-3	1	0
p20	92	145	152	184	1	4	0
d20	149	19	311	345	-1	1	0
p21	73	149	72	94	3	4	0
d21	86	93	147	174	-3	4	0
p22	7	158	349	371	1	1	0
d22	109	63	497	513	-1	2	0
p23	142	45	105	132	3	1	0
d23	42	166	415	447	-3	1	0
p24	187	60	74	108	3	4	0
d24	97	133	293	318	-3	4	0
p25	147	177	168	191	2	4	0
d25	41	178	276	292	-2	3	0
p26	61	9	90	124	2	3	0
d26	62	91	227	260	-2	2	0
p27	29	100	0	35	3	2	0
d27	66	37	153	183	-3	2	0
p28	191	62	93	123	2	2	0
d28	165	174	200	235	-2	3	0
p29	81	108	96	127	3	3	0
d29	79	104	99	133	-3	3	0
p30	93	115	281	301	3	2	0
d30	55	179	394	426	-3	2	0
p31	75	96	221	250	3	2	0
d31	139	134	527	560	-3	3	0
p32	83	103	107	138	1	4	0
d32	89	95	143	169	-1	3	0
p33	4	62	420	446	3	2	0
d33	60	123	562	577	-3	4	0
p34	81	28	188	216	1	4	0
d34	138	46	253	284	-1	2	0
p35	168	174	490	516	3	3	0
d35	162	173	493	522	-3	3	0
p36	76	192	324	356	1	1	0
d36	160	125	542	576	-1	2	0
p37	146	37	288	321	1	2	0
d37	198	39	388	400	-1	1	0
p38	35	36	54	75	3	2	0
d38	63	197	370	397	-3	1	0
p39	1	37	73	107	1	1	0
d39	167	1	305	332	-1	3	0
o0	150	100	0	600	0	0	9
e0	150	100	0	600	0	4	9
o1	150	100	0	600	0	0	8
e1	150	100	0	600	0	4	8
o2	50	100	0	600	0	0	7
e2	50	100	0	600	0	1	7
o3	50	100	0	600	0	0	8
e3	50	100	0	600	0	1	8
o4	50	100	0	600	0	0	9
e4	50	100	0	600	0	1	9
o5	150	100	0	600	0	0	7
e5	150	100	0	600	0	4	7
o6	50	100	0	600	0	0	9
e6	50	100	0	600	0	1	9
o7	150	100	0	600	0	0	8
e7	150	100	0	600	0	4	8
o8	50	100	0	600	0	0	9
e8	50	100	0	600	0	1	9
o9	150	100	0	600	0	0	8
e9	150	100	0	600	0	4	8
o10	150	100	0	600	0	0	7
e10	150	100	0	600	0	4	7
o11	150	100	0	600	0	0	7
e11	150	100	0	600	0	4	7
ts.0	100	150	0	600	0	3	0
tf.0	100	150	0	600	0	2	0
