nr	nv	nt	capacity
35	10	1	-1

node	x	y	a	b	load	s	vcap
p0	116	121	198	231	2	1	0
d0	113	80	251	285	-2	1	0
p1	156	67	30	62	1	4	0
d1	10	121	188	222	-1	2	0
p2	13	70	415	446	3	1	0
d2	124	86	517	549	-3	2	0
p3	108	90	211	241	1	3	0
d3	120	63	268	300	-1	3	0
p4	184	118	338	371	2	1	0
d4	145	147	405	439	-2	4	0
p5	139	132	34	68	1	1	0
d5	163	153	62	92	-1	2	0
p6	61	107	8	41	3	1	0
d6	105	178	100	133	-3	4	0
p7	70	104	125	156	1	3	0
d7	177	192	444	478	-1	2	0
p8	198	147	58	89	2	1	0
d8	63	178	255	288	-2	3	0
p9	15	31	346	378	2	4	0
d9	157	91	559	591	-2	3	0
p10	125	22	211	244	3	4	0
d10	138	111	468	498	-3	4	0
p11	31	152	233	263	2	1	0
d11	187	185	454	488	-2	2	0
p12	50	137	43	73	3	2	0
d12	99	43	211	241	-3	2	0
p13	83	120	47	81	3	2	0
d13	99	150	76	110	-3	1	0
p14	136	95	8	39	3	2	0
d14	190	54	86	117	-3	1	0
p15	18	32	392	425	3	2	0
d15	20	87	464	494	-3	3	0
p16	98	162	158	188	1	4	0
d16	60	9	414	444	-1	2	0
p17	158	56	89	122	3	4	0
d17	33	41	357	391	-3	3	0
p18	181	6	320	354	1	1	0
d18	101	82	452	484	-1	1	0
p19	146	28	173	203	2	1	0
d19	56	46	262	296	-2	3	0
p20	39	33	304	336	3	3	0
d20	151	89	549	583	-3	3	0
p21	106	179	107	137	2	3	0
d21	62	74	241	274	-2	2	0
p22	184	84	24	54	3	1	0
d22	152	5	151	181	-3	4	0
p23	94	54	188	221	2	4	0
d23	20	75	284	315	-2	3	0
p24	124	63	150	181	3	4	0
d24	117	63	147	177	-3	4	0
p25	56	66	114	147	2	2	0
d25	145	153	404	436	-2	1	0
p26	75	96	221	252	3	2	0
d26	139	134	527	561	-3	3	0
p27	81	28	188	218	1	4	0
d27	138	46	253	287	-1	2	0
p28	183	80	101	135	1	2	0
d28	137	84	404	437	-1	3	0
p29	168	174	490	522	3	3	0
d29	162	173	493	526	-3	3	0
p30	33	46	134	164	1	1	0
d30	176	36	352	386	-1	2	0
p31	35	36	54	84	3	2	0
d31	63	197	370	403	-3	1	0
p32	127	186	115	145	1	2	0
d32	137	61	525	557	-1	3	0
p33	22	36	352	384	2	3	0
d33	24	54	399	432	-2	4	0
p34	93	85	187	218	3	1	0
d34	82	82	211	243	-3	4	0
o0	150	100	0	600	0	0	7
e0	150	100	0	600	0	0	7
o1	150	100	0	600	0	0	6
e1	150	100	0	600	0	0	6
o2	50	100	0	600	0	0	8
e2	50	100	0	600	0	0	8
o3	50	100	0	600	0	0	9
e3	50	100	0	600	0	0	9
o4	50	100	0	600	0	0	7
e4	50	100	0	600	0	0	7
o5	150	100	0	600	0	0	7
e5	150	100	0	600	0	0	7
o6	50	100	0	600	0	0	6
e6	50	100	0	600	0	0	6
o7	150	100	0	600	0	0	8
e7	150	100	0	600	0	0	8
o8	50	100	0	600	0	0	6
e8	50	100	0	600	0	0	6
o9	150	100	0	600	0	0	8
e9	150	100	0	600	0	0	8
ts.0	100	150	0	600	0	2	0
tf.0	100	150	0	600	0	2	0
