nr	nv	nt	capacity
20	8	2	-1

node	x	y	a	b	load	s	vcap
p0	129	123	311	390	13	3	0
d0	184	118	389	467	-13	2	0
p1	94	147	234	298	11	3	0
d1	148	92	467	533	-11	2	0
p2	104	138	399	451	11	2	0
d2	91	131	397	445	-11	1	0
p3	158	126	154	217	1	3	0
d3	106	97	280	322	-1	2	0
p4	86	137	274	339	1	2	0
d4	29	42	456	492	-1	1	0
p5	163	122	164	214	9	2	0
d5	189	95	476	544	-9	2	0
p6	29	63	169	221	1	2	0
d6	190	127	450	508	-1	1	0
p7	79	112	217	282	11	3	0
d7	37	70	309	356	-11	1	0
p8	112	116	332	399	13	1	0
d8	79	126	450	506	-13	1	0
p9	116	123	108	162	5	1	0
d9	7	34	407	445	-5	3	0
p10	89	146	252	290	9	1	0
d10	145	95	485	528	-9	3	0
p11	20	43	90	126	11	1	0
d11	30	30	115	147	-11	1	0
p12	37	55	180	233	11	2	0
d12	115	115	328	387	-11	2	0
p13	109	105	36	96	1	1	0
d13	188	122	221	263	-1	2	0
p14	143	99	110	151	8	2	0
d14	82	108	314	378	-8	3	0
p15	23	42	95	139	13	2	0
d15	127	115	384	438	-13	3	0
p16	151	102	61	114	6	2	0
d16	38	30	438	467	-6	1	0
p17	95	121	19	72	5	2	0
d17	4	54	311	366	-5	1	0
p18	37	64	174	231	5	1	0
d18	85	113	251	322	-5	2	0
p19	124	115	114	155	10	1	0
d19	110	137	145	184	-10	1	0
o0	140	100	0	600	0	0	12
e0	140	100	0	600	0	0	12
o1	60	100	0	600	0	0	6
e1	60	100	0	600	0	0	6
o2	60	100	0	600	0	0	6
e2	60	100	0	600	0	0	6
o3	60	100	0	600	0	0	13
e3	60	100	0	600	0	0	13
o4	60	100	0	600	0	0	12
e4	60	100	0	600	0	0	12
o5	60	100	0	600	0	0	11
e5	60	100	0	600	0	0	11
o6	140	100	0	600	0	0	7
e6	140	100	0	600	0	0	7
o7	140	100	0	600	0	0	9
e7	140	100	0	600	0	0	9
t0	100	150	0	600	0	2	0
t1	100	50	0	600	0	2	0
