nr	nv	nt	capacity
25	8	1	-1

node	x	y	a	b	load	s	vcap
p0	170	7	252	306	6	2	0
d0	26	55	496	561	-6	1	0
p1	114	53	353	384	5	1	0
d1	46	28	419	506	-5	1	0
p2	96	184	141	187	6	3	0
d2	17	14	439	516	-6	2	0
p3	142	149	48	107	13	2	0
d3	47	125	353	426	-13	2	0
p4	76	66	264	317	2	1	0
d4	199	29	472	551	-2	2	0
p5	135	163	53	115	10	3	0
d5	47	111	392	460	-10	2	0
p6	192	61	154	207	7	3	0
d6	137	190	336	403	-7	1	0
p7	93	126	76	133	5	1	0
d7	181	84	509	579	-5	2	0
p8	180	84	118	197	6	3	0
d8	191	6	226	279	-6	1	0
p9	102	135	197	262	7	3	0
d9	124	65	315	367	-7	3	0
p10	34	117	53	106	4	1	0
d10	144	71	331	407	-4	3	0
p11	29	81	4	36	9	2	0
d11	93	185	133	198	-9	1	0
p12	30	160	50	89	7	1	0
d12	82	112	225	298	-7	2	0
p13	35	125	12	61	9	2	0
d13	120	50	339	395	-9	2	0
p14	151	5	160	213	8	3	0
d14	121	108	285	353	-8	3	0
p15	193	7	106	173	4	3	0
d15	97	168	425	484	-4	3	0
p16	162	79	114	156	10	1	0
d16	25	27	465	536	-10	3	0
p17	80	60	261	330	10	1	0
d17	186	39	486	555	-10	1	0
p18	138	193	340	398	10	3	0
d18	178	153	385	446	-10	3	0
p19	23	180	51	109	9	2	0
d19	105	47	364	417	-9	3	0
p20	23	146	16	84	11	1	0
d20	110	133	420	496	-11	2	0
p21	181	27	88	137	5	2	0
d21	158	184	294	361	-5	1	0
p22	185	45	61	118	12	3	0
d22	151	110	551	600	-12	2	0
p23	81	71	154	238	13	1	0
d23	176	159	393	436	-13	3	0
p24	77	60	179	236	6	1	0
d24	68	25	207	281	-6	1	0
o0	160	90	0	600	0	0	13
e0	160	90	0	600	0	0	13
o1	30	100	0	600	0	0	8
e1	30	100	0	600	0	0	8
o2	30	100	0	600	0	0	6
e2	30	100	0	600	0	0	6
o3	160	90	0	600	0	0	13
e3	160	90	0	600	0	0	13
o4	30	100	0	600	0	0	12
e4	30	100	0	600	0	0	12
o5	30	100	0	600	0	0	11
e5	30	100	0	600	0	0	11
o6	160	90	0	600	0	0	8
e6	160	90	0	600	0	0	8
o7	160	90	0	600	0	0	9
e7	160	90	0	600	0	0	9
t0	100	100	0	600	0	2	0
