nr	nv	nt	capacity
11	4	1	-1

node	x	y	a	b	load	s	vcap
p0	34	153	92	149	5	2	0
d0	153	159	440	506	-5	1	0
p1	85	18	219	257	14	2	0
d1	58	29	233	306	-14	1	0
p2	60	22	247	295	7	1	0
d2	105	108	449	521	-7	3	0
p3	37	120	0	78	17	1	0
d3	137	12	407	465	-17	3	0
p4	62	77	196	284	1	3	0
d4	58	64	232	273	-1	3	0
p5	49	73	5	52	6	1	0
d5	58	71	0	58	-6	3	0
p6	81	91	161	213	4	2	0
d6	73	34	371	424	-4	2	0
p7	189	111	0	65	7	2	0
d7	29	21	332	400	-7	1	0
p8	133	46	117	194	16	1	0
d8	15	54	421	469	-16	3	0
p9	128	168	301	382	3	1	0
d9	147	140	458	535	-3	3	0
p10	82	14	78	154	16	3	0
d10	36	159	430	471	-16	2	0
o0	40	90	0	600	0	0	20
e0	40	90	0	600	0	0	20
o1	40	90	0	600	0	0	20
e1	40	90	0	600	0	0	20
o2	170	100	0	600	0	0	20
e2	170	100	0	600	0	0	20
o3	170	100	0	600	0	0	20
e3	170	100	0	600	0	0	20
t0	100	100	0	600	0	2	0
