nr	nv	nt	capacity
20	8	1	-1

node	x	y	a	b	load	s	vcap
p0	133	46	117	194	4	1	0
d0	15	54	421	469	-4	3	0
p1	105	171	110	154	6	2	0
d1	2	99	446	522	-6	1	0
p2	21	129	323	390	4	2	0
d2	137	56	483	518	-4	1	0
p3	52	174	178	258	11	3	0
d3	178	66	518	563	-11	3	0
p4	140	1	124	209	5	2	0
d4	158	96	538	594	-5	1	0
p5	129	118	78	125	2	1	0
d5	127	7	431	505	-2	3	0
p6	168	31	59	132	8	2	0
d6	97	147	262	301	-8	3	0
p7	78	31	51	103	5	1	0
d7	134	54	127	194	-5	2	0
p8	40	140	68	118	8	1	0
d8	167	112	300	354	-8	2	0
p9	6	26	301	366	2	2	0
d9	141	94	490	549	-2	2	0
p10	178	177	37	123	2	2	0
d10	0	199	255	300	-2	2	0
p11	85	45	49	104	8	2	0
d11	34	196	446	500	-8	1	0
p12	46	72	3	38	9	1	0
d12	185	57	420	486	-9	3	0
p13	187	135	37	67	4	2	0
d13	120	59	312	384	-4	2	0
p14	167	173	62	120	10	1	0
d14	168	62	509	554	-10	2	0
p15	94	153	113	171	4	3	0
d15	56	124	391	445	-4	2	0
p16	110	197	251	291	8	3	0
d16	68	67	546	600	-8	3	0
p17	128	103	197	257	9	1	0
d17	104	145	271	327	-9	2	0
p18	92	75	190	253	3	2	0
d18	145	149	434	497	-3	2	0
p19	136	3	141	219	8	3	0
d19	95	5	193	261	-8	1	0
o0	40	90	0	600	0	0	11
e0	40	90	0	600	0	0	11
o1	170	100	0	600	0	0	11
e1	170	100	0	600	0	0	11
o2	40	90	0	600	0	0	10
e2	40	90	0	600	0	0	10
o3	170	100	0	600	0	0	10
e3	170	100	0	600	0	0	10
o4	40	90	0	600	0	0	9
e4	40	90	0	600	0	0	9
o5	170	100	0	600	0	0	9
e5	170	100	0	600	0	0	9
o6	40	90	0	600	0	0	10
e6	40	90	0	600	0	0	10
o7	170	100	0	600	0	0	8
e7	170	100	0	600	0	0	8
t0	100	100	0	600	0	2	0
