nr	nv	nt	capacity
12	4	1	-1

node	x	y	a	b	load	s	vcap
p0	107	106	243	288	17	3	0
d0	34	46	399	432	-17	1	0
p1	158	92	47	103	5	1	0
d1	45	44	340	378	-5	2	0
p2	124	105	15	44	12	2	0
d2	197	113	497	573	-12	3	0
p3	26	75	167	201	2	2	0
d3	178	89	430	479	-2	3	0
p4	119	99	0	54	6	3	0
d4	22	69	181	241	-6	2	0
p5	129	113	103	149	14	3	0
d5	3	60	320	370	-14	3	0
p6	98	114	263	307	4	2	0
d6	48	67	400	448	-4	3	0
p7	111	105	230	288	15	3	0
d7	81	129	301	348	-15	1	0
p8	27	74	189	251	3	2	0
d8	153	125	372	438	-3	1	0
p9	24	44	102	149	9	3	0
d9	188	107	419	480	-9	3	0
p10	129	123	311	390	7	3	0
d10	184	118	389	467	-7	2	0
p11	18	27	134	196	1	1	0
d11	159	107	454	513	-1	2	0
o0	140	100	0	600	0	0	20
e0	140	100	0	600	0	0	20
o1	140	100	0	600	0	0	19
e1	140	100	0	600	0	0	19
o2	60	100	0	600	0	0	19
e2	60	100	0	600	0	0	19
o3	60	100	0	600	0	0	18
e3	60	100	0	600	0	0	18
t0	100	100	0	600	0	2	0
