nr	nv	nt	capacity
15	6	2	-1

node	x	y	a	b	load	s	vcap
p0	124	105	15	44	12	2	0
d0	197	113	497	573	-12	3	0
p1	111	105	230	288	5	3	0
d1	81	129	301	348	-5	1	0
p2	104	138	399	451	11	2	0
d2	91	131	397	445	-11	1	0
p3	104	128	144	200	5	2	0
d3	53	53	336	394	-5	3	0
p4	104	95	39	86	8	2	0
d4	76	129	422	484	-8	1	0
p5	174	94	19	95	1	3	0
d5	5	59	334	394	-1	2	0
p6	116	123	108	162	7	1	0
d6	7	34	407	445	-7	3	0
p7	90	118	281	343	5	3	0
d7	188	110	428	471	-5	3	0
p8	199	112	201	264	12	2	0
d8	83	144	409	461	-12	1	0
p9	16	60	114	179	4	3	0
d9	189	125	433	497	-4	1	0
p10	151	102	61	114	1	2	0
d10	38	30	438	467	-1	1	0
p11	6	46	171	226	2	3	0
d11	159	95	465	517	-2	2	0
p12	33	46	124	188	4	2	0
d12	103	96	317	373	-4	2	0
p13	103	98	18	89	12	3	0
d13	102	115	297	354	-12	1	0
p14	1	57	187	217	5	2	0
d14	115	101	390	434	-5	2	0
o0	140	100	0	600	0	0	12
e0	140	100	0	600	0	0	12
o1	60	100	0	600	0	0	8
e1	60	100	0	600	0	0	8
o2	60	100	0	600	0	0	6
e2	60	100	0	600	0	0	6
o3	140	100	0	600	0	0	12
e3	140	100	0	600	0	0	12
o4	60	100	0	600	0	0	11
e4	60	100	0	600	0	0	11
o5	140	100	0	600	0	0	10
e5	140	100	0	600	0	0	10
t0	100	150	0	600	0	2	0
t1	100	50	0	600	0	2	0
