nr	nv	nt	capacity
6	4	2	-1

node	x	y	a	b	load	s	vcap
p0	48	153	57	111	3	1	0
d0	23	53	508	560	-3	3	0
p1	170	7	252	306	8	2	0
d1	26	55	496	561	-8	1	0
p2	35	46	102	161	9	3	0
d2	162	168	369	414	-9	2	0
p3	117	132	27	102	15	2	0
d3	138	90	456	510	-15	1	0
p4	144	54	332	398	4	1	0
d4	114	103	373	444	-4	2	0
p5	142	118	285	337	20	3	0
d5	35	24	421	479	-20	1	0
o0	160	90	0	600	0	0	20
e0	160	90	0	600	0	0	20
o1	160	90	0	600	0	0	19
e1	160	90	0	600	0	0	19
o2	30	100	0	600	0	0	19
e2	30	100	0	600	0	0	19
o3	30	100	0	600	0	0	18
e3	30	100	0	600	0	0	18
t0	100	150	0	600	0	2	0
t1	100	50	0	600	0	2	0
