nr	nv	nt	capacity
30	10	2	-1

node	x	y	a	b	load	s	vcap
p0	13	70	415	432	5	1	0
d0	124	86	517	556	-5	2	0
p1	70	156	292	323	3	4	0
d1	110	191	368	391	-3	2	0
p2	150	123	11	41	2	4	0
d2	176	53	412	442	-2	4	0
p3	156	34	79	119	3	4	0
d3	58	173	437	458	-3	2	0
p4	198	147	58	81	2	1	0
d4	63	178	255	266	-2	3	0
p5	86	3	124	166	7	3	0
d5	67	74	212	244	-7	4	0
p6	15	31	346	401	3	4	0
d6	157	91	559	576	-3	3	0
p7	31	152	233	276	6	1	0
d7	187	185	454	488	-6	2	0
p8	144	112	13	22	2	1	0
d8	148	125	9	50	-2	1	0
p9	98	162	158	202	2	4	0
d9	60	9	414	456	-2	2	0
p10	39	33	304	318	3	3	0
d10	151	89	549	587	-3	3	0
p11	150	20	298	301	7	3	0
d11	113	77	439	466	-7	1	0
p12	92	145	152	192	9	4	0
d12	149	19	311	345	-9	1	0
p13	73	149	72	94	2	4	0
d13	86	93	147	174	-2	4	0
p14	7	158	349	371	2	1	0
d14	109	63	497	513	-2	2	0
p15	142	45	105	132	8	1	0
d15	42	166	415	447	-8	1	0
p16	20	186	377	402	8	3	0
d16	64	174	434	473	-8	1	0
p17	94	54	188	207	7	4	0
d17	20	75	284	329	-7	3	0
p18	187	60	74	108	6	4	0
d18	97	133	293	318	-6	4	0
p19	147	177	168	191	9	4	0
d19	41	178	276	292	-9	3	0
p20	72	57	149	165	5	4	0
d20	151	131	430	464	-5	2	0
p21	82	118	40	66	4	3	0
d21	28	19	356	387	-4	3	0
p22	12	30	82	128	4	1	0
d22	150	39	263	302	-4	1	0
p23	83	103	107	147	8	4	0
d23	89	95	143	169	-8	3	0
p24	4	62	420	446	5	2	0
d24	60	123	562	577	-5	4	0
p25	50	142	281	309	6	2	0
d25	166	179	479	519	-6	2	0
p26	168	174	490	516	1	3	0
d26	162	173	493	522	-1	3	0
p27	144	29	77	116	8	2	0
d27	25	126	266	296	-8	2	0
p28	131	78	65	90	8	2	0
d28	171	193	446	477	-8	1	0
p29	27	86	73	101	9	1	0
d29	179	87	299	325	-9	3	0
o0	150	100	0	600	0	4	9
e0	150	100	0	600	0	4	9
o1	150	100	0	600	0	4	8
e1	150	100	0	600	0	4	8
o2	50	100	0	600	0	1	6
e2	50	100	0	600	0	1	6
o3	50	100	0	600	0	1	9
e3	50	100	0	600	0	1	9
o4	50	100	0	600	0	1	7
e4	50	100	0	600	0	1	7
o5	150	100	0	600	0	4	8
e5	150	100	0	600	0	4	8
o6	50	100	0	600	0	1	9
e6	50	100	0	600	0	1	9
o7	150	100	0	600	0	4	7
e7	150	100	0	600	0	4	7
o8	50	100	0	600	0	1	9
e8	50	100	0	600	0	1	9
o9	150	100	0	600	0	4	9
e9	150	100	0	600	0	4	9
t0	100	150	0	600	0	3	0
t1	100	50	0	600	0	4	0
