nr	nv	nt	capacity
20	10	2	-1

node	x	y	a	b	load	s	vcap
p0	183	181	120	134	3	3	0
d0	143	54	516	567	-3	1	0
p1	189	149	67	114	4	4	0
d1	64	131	417	438	-4	3	0
p2	70	156	292	323	4	4	0
d2	110	191	368	391	-4	2	0
p3	165	145	27	73	4	4	0
d3	61	128	213	241	-4	1	0
p4	184	118	338	361	3	1	0
d4	145	147	405	445	-3	4	0
p5	172	140	368	390	1	2	0
d5	109	109	488	510	-1	3	0
p6	172	48	107	119	4	4	0
d6	15	11	337	352	-4	1	0
p7	156	34	79	119	3	4	0
d7	58	173	437	458	-3	2	0
p8	125	22	211	251	1	4	0
d8	138	111	468	491	-1	4	0
p9	77	82	482	520	4	3	0
d9	129	94	547	560	-4	2	0
p10	157	184	73	103	1	4	0
d10	9	60	307	348	-1	1	0
p11	39	33	304	318	1	3	0
d11	151	89	549	587	-1	3	0
p12	114	136	152	192	8	1	0
d12	11	38	386	420	-8	1	0
p13	160	77	26	66	4	3	0
d13	74	129	319	336	-4	4	0
p14	192	33	364	411	9	3	0
d14	198	75	445	467	-9	1	0
p15	75	96	221	250	8	2	0
d15	139	134	527	569	-8	3	0
p16	83	103	107	147	5	4	0
d16	89	95	143	169	-5	3	0
p17	4	62	420	446	5	2	0
d17	60	123	562	577	-5	4	0
p18	115	116	197	227	1	4	0
d18	137	53	289	295	-1	1	0
p19	35	36	54	75	1	2	0
d19	63	197	370	397	-1	1	0
o0	150	100	0	600	0	4	7
e0	150	100	0	600	0	4	7
o1	150	100	0	600	0	4	9
e1	150	100	0	600	0	4	9
o2	50	100	0	600	0	1	7
e2	50	100	0	600	0	1	7
o3	50	100	0	600	0	1	8
e3	50	100	0	600	0	1	8
o4	50	100	0	600	0	1	7
e4	50	100	0	600	0	1	7
o5	150	100	0	600	0	4	8
e5	150	100	0	600	0	4	8
o6	50	100	0	600	0	1	9
e6	50	100	0	600	0	1	9
o7	150	100	0	600	0	4	9
e7	150	100	0	600	0	4	9
o8	50	100	0	600	0	1	9
e8	50	100	0	600	0	1	9
o9	150	100	0	600	0	4	8
e9	150	100	0	600	0	4	8
t0	100	150	0	600	0	3	0
t1	100	50	0	600	0	4	0
