nr	nv	nt	capacity
20	10	2	-1

node	x	y	a	b	load	s	vcap
p0	162	139	34	63	1	3	0
d0	1	79	285	321	-1	1	0
p1	106	114	188	221	1	2	0
d1	28	10	362	386	-1	1	0
p2	184	118	338	361	2	1	0
d2	145	147	405	445	-2	4	0
p3	192	123	24	58	5	4	0
d3	27	149	381	391	-5	4	0
p4	70	104	125	164	7	3	0
d4	177	192	444	490	-7	2	0
p5	144	190	116	137	6	2	0
d5	2	55	319	370	-6	2	0
p6	27	49	132	145	7	1	0
d6	172	45	383	410	-7	1	0
p7	41	130	16	44	7	2	0
d7	190	126	337	370	-7	4	0
p8	15	31	346	401	6	4	0
d8	157	91	559	576	-6	3	0
p9	136	95	8	21	3	2	0
d9	190	54	86	101	-3	1	0
p10	192	33	364	411	8	3	0
d10	198	75	445	467	-8	1	0
p11	187	60	74	108	5	4	0
d11	97	133	293	318	-5	4	0
p12	147	177	168	191	4	4	0
d12	41	178	276	292	-4	3	0
p13	72	57	149	165	7	4	0
d13	151	131	430	464	-7	2	0
p14	81	95	223	239	5	1	0
d14	27	113	524	562	-5	1	0
p15	93	115	281	301	2	2	0
d15	55	179	394	426	-2	2	0
p16	83	103	107	147	6	4	0
d16	89	95	143	169	-6	3	0
p17	183	80	101	148	1	2	0
d17	137	84	404	419	-1	3	0
p18	76	192	324	375	7	1	0
d18	160	125	542	576	-7	2	0
p19	146	37	288	331	4	2	0
d19	198	39	388	400	-4	1	0
o0	150	100	0	600	0	0	7
e0	150	100	0	600	0	0	7
o1	150	100	0	600	0	0	7
e1	150	100	0	600	0	0	7
o2	50	100	0	600	0	0	8
e2	50	100	0	600	0	0	8
o3	50	100	0	600	0	0	9
e3	50	100	0	600	0	0	9
o4	50	100	0	600	0	0	7
e4	50	100	0	600	0	0	7
o5	150	100	0	600	0	0	8
e5	150	100	0	600	0	0	8
o6	50	100	0	600	0	0	9
e6	50	100	0	600	0	0	9
o7	150	100	0	600	0	0	8
e7	150	100	0	600	0	0	8
o8	150	100	0	600	0	0	9
e8	150	100	0	600	0	0	9
o9	50	100	0	600	0	0	7
e9	50	100	0	600	0	0	7
t0	100	150	0	600	0	2	0
t1	100	50	0	600	0	2	0
