nr	nv	nt	capacity
25	10	2	-1

node	x	y	a	b	load	s	vcap
p0	48	126	13	52	6	1	0
d0	67	93	531	560	-6	3	0
p1	192	123	24	58	9	4	0
d1	27	149	381	391	-9	4	0
p2	61	107	8	26	4	1	0
d2	105	178	100	133	-4	4	0
p3	27	49	132	145	7	1	0
d3	172	45	383	410	-7	1	0
p4	156	34	79	119	3	4	0
d4	58	173	437	458	-3	2	0
p5	198	147	58	81	9	1	0
d5	63	178	255	266	-9	3	0
p6	15	31	346	401	9	4	0
d6	157	91	559	576	-9	3	0
p7	144	112	13	22	6	1	0
d7	148	125	9	50	-6	1	0
p8	50	137	43	57	5	2	0
d8	99	43	211	225	-5	2	0
p9	77	82	482	520	8	3	0
d9	129	94	547	560	-8	2	0
p10	149	162	84	108	9	4	0
d10	179	67	418	467	-9	4	0
p11	146	28	173	203	5	1	0
d11	56	46	262	299	-5	3	0
p12	150	20	298	301	5	3	0
d12	113	77	439	466	-5	1	0
p13	184	84	24	71	3	1	0
d13	152	5	151	173	-3	4	0
p14	20	186	377	402	2	3	0
d14	64	174	434	473	-2	1	0
p15	160	77	26	66	9	3	0
d15	74	129	319	336	-9	4	0
p16	192	33	364	411	8	3	0
d16	198	75	445	467	-8	1	0
p17	112	175	110	159	2	4	0
d17	68	77	247	273	-2	4	0
p18	124	63	150	169	6	4	0
d18	117	63	147	177	-6	4	0
p19	72	57	149	165	9	4	0
d19	151	131	430	464	-9	2	0
p20	56	66	114	156	4	2	0
d20	145	153	404	449	-4	1	0
p21	93	115	281	301	4	2	0
d21	55	179	394	426	-4	2	0
p22	76	192	324	375	6	1	0
d22	160	125	542	576	-6	2	0
p23	93	85	187	201	4	1	0
d23	82	82	211	223	-4	4	0
p24	27	86	73	101	7	1	0
d24	179	87	299	325	-7	3	0
o0	150	100	0	600	0	0	9
e0	150	100	0	600	0	0	9
o1	150	100	0	600	0	0	8
e1	150	100	0	600	0	0	8
o2	50	100	0	600	0	0	7
e2	50	100	0	600	0	0	7
o3	50	100	0	600	0	0	9
e3	50	100	0	600	0	0	9
o4	50	100	0	600	0	0	7
e4	50	100	0	600	0	0	7
o5	150	100	0	600	0	0	7
e5	150	100	0	600	0	0	7
o6	50	100	0	600	0	0	9
e6	50	100	0	600	0	0	9
o7	150	100	0	600	0	0	8
e7	150	100	0	600	0	0	8
o8	50	100	0	600	0	0	9
e8	50	100	0	600	0	0	9
o9	150	100	0	600	0	0	8
e9	150	100	0	600	0	0	8
t0	100	150	0	600	0	2	0
t1	100	50	0	600	0	2	0
