nr	nv	nt	capacity
20	8	2	-1

node	x	y	a	b	load	s	vcap
p0	153	48	386	425	4	2	0
d0	70	108	505	548	-4	1	0
p1	139	132	34	68	4	1	0
d1	163	153	62	106	-4	2	0
p2	86	3	124	166	2	3	0
d2	67	74	212	244	-2	4	0
p3	41	130	16	49	10	2	0
d3	190	126	337	370	-10	4	0
p4	50	137	43	77	5	2	0
d4	99	43	211	243	-5	2	0
p5	136	95	8	40	6	2	0
d5	190	54	86	120	-6	1	0
p6	19	17	369	399	8	2	0
d6	2	113	486	518	-8	3	0
p7	146	28	173	203	1	1	0
d7	56	46	262	299	-1	3	0
p8	32	117	55	89	4	2	0
d8	36	72	86	132	-4	3	0
p9	114	136	152	192	6	1	0
d9	11	38	386	420	-6	1	0
p10	184	84	24	71	7	1	0
d10	152	5	151	185	-7	4	0
p11	160	77	26	66	2	3	0
d11	74	129	319	350	-2	4	0
p12	112	175	110	159	5	4	0
d12	68	77	247	278	-5	4	0
p13	147	177	168	200	5	4	0
d13	41	178	276	306	-5	3	0
p14	72	57	149	183	5	4	0
d14	151	131	430	464	-5	2	0
p15	4	62	420	453	6	2	0
d15	60	123	562	594	-6	4	0
p16	76	192	324	375	5	1	0
d16	160	125	542	576	-5	2	0
p17	115	116	197	227	7	4	0
d17	137	53	289	322	-7	1	0
p18	35	36	54	84	4	2	0
d18	63	197	370	403	-4	1	0
p19	93	85	187	218	1	1	0
d19	82	82	211	244	-1	4	0
o0	150	100	0	600	0	0	7
e0	150	100	0	600	0	0	7
o1	150	100	0	600	0	0	8
e1	150	100	0	600	0	0	8
o2	50	100	0	600	0	0	7
e2	50	100	0	600	0	0	7
o3	50	100	0	600	0	0	8
e3	50	100	0	600	0	0	8
o4	50	100	0	600	0	0	10
e4	50	100	0	600	0	0	10
o5	150	100	0	600	0	0	10
e5	150	100	0	600	0	0	10
o6	50	100	0	600	0	0	7
e6	50	100	0	600	0	0	7
o7	150	100	0	600	0	0	7
e7	150	100	0	600	0	0	7
t0	100	150	0	600	0	2	0
t1	100	50	0	600	0	2	0
